(epoch: 0, iters: 500, time: 5.363, data: 2.838) D_A: 0.339 G_A: 0.264 cycle_A: 0.804 idt_A: 0.121 D_B: 0.027 G_B: 1.043 cycle_B: 0.263 idt_B: 0.402 
(epoch: 1, iters: 500, time: 4.840, data: 27.264) D_A: 0.233 G_A: 0.310 cycle_A: 0.792 idt_A: 0.155 D_B: 0.034 G_B: 0.824 cycle_B: 0.292 idt_B: 0.396 
(epoch: 2, iters: 500, time: 5.181, data: 27.364) D_A: 0.285 G_A: 0.204 cycle_A: 0.754 idt_A: 0.145 D_B: 0.025 G_B: 1.044 cycle_B: 0.264 idt_B: 0.377
(epoch: 3, iters: 500, time: 5.266, data: 20.293) D_A: 0.293 G_A: 0.240 cycle_A: 0.589 idt_A: 0.127 D_B: 0.085 G_B: 1.002 cycle_B: 0.211 idt_B: 0.295 
(epoch: 4, iters: 500, time: 5.193, data: 19.608) D_A: 0.436 G_A: 0.526 cycle_A: 0.591 idt_A: 0.130 D_B: 0.011 G_B: 0.991 cycle_B: 0.253 idt_B: 0.295 
(epoch: 5, iters: 500, time: 5.210, data: 2.800) D_A: 0.252 G_A: 0.410 cycle_A: 0.256 idt_A: 0.096 D_B: 0.243 G_B: 0.223 cycle_B: 0.196 idt_B: 0.127 
(epoch: 6, iters: 500, time: 5.396, data: 8.286) D_A: 0.206 G_A: 0.319 cycle_A: 0.193 idt_A: 0.135 D_B: 0.438 G_B: 0.243 cycle_B: 0.280 idt_B: 0.089 
(epoch: 7, iters: 500, time: 5.331, data: 24.612) D_A: 0.291 G_A: 0.192 cycle_A: 0.163 idt_A: 0.094 D_B: 0.278 G_B: 0.270 cycle_B: 0.193 idt_B: 0.079 
(epoch: 8, iters: 500, time: 5.223, data: 24.304) D_A: 0.268 G_A: 0.183 cycle_A: 0.165 idt_A: 0.090 D_B: 0.359 G_B: 0.594 cycle_B: 0.190 idt_B: 0.080 
(epoch: 9, iters: 500, time: 5.543, data: 22.255) D_A: 0.270 G_A: 0.267 cycle_A: 0.208 idt_A: 0.091 D_B: 0.264 G_B: 0.316 cycle_B: 0.199 idt_B: 0.089 
(epoch: 10, iters: 500, time: 5.434, data: 4.609) D_A: 0.263 G_A: 0.291 cycle_A: 0.360 idt_A: 0.074 D_B: 0.180 G_B: 0.241 cycle_B: 0.165 idt_B: 0.127 
